Date,Fuel_Type,Liters_Sold,Price_per_Liter,Payment_Mode,Location,Pump_ID,Customer_Age,Vehicle_Type,Stock_Level,Pump_Efficiency,Maintenance_Issue,Maintenance_Cost,Total_Sales
9/14/2024,Petrol,485,116.91,Cash,Aurangabad,BP002,52,Auto,2116,83.15,Leak,1436.9,56701.35
12/9/2024,CNG,249,115.38,Cash,Nashik,BP004,20,Car,3678,71.99,Low Pressure,1816.92,28729.62
10/20/2024,Petrol,341,95.48,Cash,Mumbai,BP001,29,Auto,4581,98.71,Motor Fault,4295.39,32558.68
7/10/2024,Petrol,262,118.69,Cash,Nashik,BP004,44,Car,911,93.79,None,2340.17,31096.78
10/3/2024,Petrol,42,101.3,Card,Nashik,BP004,47,Car,1241,81.95,Leak,1067.25,4254.6
6/9/2024,CNG,557,100.18,Card,Nagpur,BP004,38,Truck,3171,99.47,Motor Fault,4673.03,55800.26
11/9/2024,Diesel,132,91.87,Cash,Mumbai,BP002,55,Truck,3279,80.37,Low Pressure,3983,12126.84
1/22/2024,Diesel,559,104.59,Cash,Nashik,BP001,38,Car,3124,81.16,Motor Fault,278.33,58465.81
9/9/2024,Petrol,467,93.27,UPI,Nagpur,BP001,55,Bike,1014,88.29,None,4994.71,43557.09
8/23/2024,Diesel,532,97.46,UPI,Mumbai,BP001,57,Bike,706,78.23,Motor Fault,3474.63,51848.72
12/10/2024,CNG,274,99.51,UPI,Pune,BP002,32,Bike,1447,90.96,Low Pressure,801.33,27265.74
2/18/2024,CNG,200,114.26,Card,Nagpur,BP003,35,Auto,2941,74.59,Leak,1185.84,22852
2/28/2024,Diesel,370,116.26,UPI,Aurangabad,BP002,46,Car,2328,73.24,Leak,3462.23,43016.2
6/18/2024,Diesel,372,99.07,Card,Mumbai,BP002,55,Truck,4098,86.05,Sensor Error,3898.81,36854.04
7/6/2024,Petrol,89,115.76,Card,Nashik,BP004,38,Auto,2667,86.66,Low Pressure,1195.18,10302.64
9/27/2024,Diesel,562,115.72,Card,Nashik,BP001,34,Auto,2156,73.2,Sensor Error,1284.84,65034.64
7/8/2024,Petrol,531,112.94,Card,Aurangabad,BP001,58,Truck,1101,98.93,Sensor Error,1535.6,59971.14
6/23/2024,Petrol,311,94.4,UPI,Aurangabad,BP003,35,Car,1211,87.2,None,2990.09,29358.4
2/20/2024,CNG,291,110.71,Cash,Nashik,BP003,54,Auto,1703,74.53,Low Pressure,859.08,32216.61
12/29/2024,CNG,599,118.35,Cash,Mumbai,BP004,55,Car,1891,79.34,Leak,521.22,70891.65
2/24/2024,CNG,129,110.48,Cash,Nagpur,BP001,29,Car,3196,94.01,Low Pressure,3394.32,14251.92
8/31/2024,CNG,485,99.95,UPI,Aurangabad,BP003,28,Car,3772,85.7,None,3895.49,48475.75
11/15/2024,Diesel,371,105.02,Cash,Aurangabad,BP003,37,Truck,3631,75.64,Low Pressure,2504.65,38962.42
5/10/2024,CNG,178,109.37,UPI,Aurangabad,BP001,26,Car,4230,73.09,Low Pressure,1819.16,19467.86
11/2/2024,Diesel,396,105.32,UPI,Pune,BP002,18,Auto,3166,82.92,Sensor Error,2160.21,41706.72
5/14/2024,CNG,313,93.6,UPI,Mumbai,BP003,20,Truck,1049,80.12,Low Pressure,1942.04,29296.8
1/21/2024,Diesel,58,99.36,Cash,Mumbai,BP001,38,Truck,4482,89.68,Sensor Error,4799.92,5762.88
11/24/2024,Petrol,350,114.07,Cash,Mumbai,BP003,40,Auto,1744,97.76,Sensor Error,3840.45,39924.5
6/15/2024,Diesel,193,115.84,Cash,Mumbai,BP004,26,Truck,4386,77.43,Motor Fault,1040.44,22357.12
9/30/2024,Diesel,429,94.12,Card,Mumbai,BP003,36,Auto,4512,95.66,None,1920.95,40377.48
3/29/2024,CNG,299,118.57,UPI,Nashik,BP001,62,Bike,3049,97.61,Sensor Error,2720.06,35452.43
11/11/2024,Diesel,164,99.86,Card,Aurangabad,BP003,63,Auto,3704,97.06,Low Pressure,3064.93,16377.04
1/14/2024,Petrol,393,109.87,UPI,Nashik,BP004,36,Truck,1345,98.56,Sensor Error,2340.92,43178.91
8/29/2024,Petrol,312,112.55,Cash,Pune,BP004,40,Auto,543,95.26,Sensor Error,4050.63,35115.6
9/21/2024,CNG,284,114.36,UPI,Nagpur,BP003,44,Bike,1158,87.8,Sensor Error,3838.03,32478.24
12/11/2024,Petrol,489,118.37,UPI,Aurangabad,BP003,44,Car,4430,82.3,Leak,2525.79,57882.93
2/22/2024,Diesel,286,99.39,Card,Pune,BP004,56,Car,3367,84.75,Leak,4272.15,28425.54
12/5/2024,Petrol,559,115.76,UPI,Nashik,BP004,53,Car,4147,96.18,Leak,3755.45,64709.84
4/1/2024,CNG,180,93.95,Cash,Nagpur,BP002,29,Truck,3282,79.04,Leak,3892.91,16911
9/20/2024,Diesel,401,111.15,UPI,Pune,BP002,44,Bike,2191,74.78,Motor Fault,4782,44571.15
2/4/2024,CNG,47,112.26,UPI,Nagpur,BP004,63,Auto,2725,74.22,Sensor Error,1332.33,5276.22
7/24/2024,Diesel,517,110.33,UPI,Pune,BP003,51,Auto,3566,94.81,Motor Fault,1338.24,57040.61
3/21/2024,Petrol,391,97.57,Card,Nashik,BP001,50,Auto,2447,92.84,Low Pressure,4444.76,38149.87
2/19/2024,CNG,534,116.19,UPI,Nagpur,BP003,45,Auto,1865,84.93,None,3861.13,62045.46
12/25/2024,CNG,466,95.07,UPI,Pune,BP003,48,Truck,3630,78.25,Motor Fault,4632.73,44302.62
1/2/2024,Diesel,78,91.61,Card,Nashik,BP002,49,Truck,1467,90.33,Leak,315.65,7145.58
2/23/2024,CNG,226,111.52,Card,Aurangabad,BP002,37,Bike,1904,71.15,Leak,3138.79,25203.52
4/15/2024,Diesel,132,104.26,Card,Nashik,BP002,57,Auto,985,87.05,Low Pressure,723.14,13762.32
9/16/2024,Diesel,125,115.47,Card,Nashik,BP004,52,Car,2255,81.95,Sensor Error,2519.49,14433.75
11/5/2024,Diesel,83,101.5,Cash,Aurangabad,BP004,48,Truck,4130,99.34,None,778.73,8424.5
7/9/2024,Diesel,176,95.05,Cash,Nashik,BP003,48,Bike,3468,85.23,Motor Fault,640.39,16728.8
8/5/2024,Petrol,460,115.09,UPI,Aurangabad,BP003,55,Bike,2079,86.57,Sensor Error,60.84,52941.4
2/13/2024,Diesel,113,106.47,Cash,Aurangabad,BP001,39,Truck,3295,91.37,Sensor Error,3151.19,12031.11
6/10/2024,CNG,587,95.68,UPI,Aurangabad,BP003,62,Car,550,84.54,Motor Fault,1795.11,56164.16
7/20/2024,Petrol,551,111.61,Cash,Pune,BP003,58,Car,2159,76.74,Motor Fault,525.94,61497.11
9/26/2024,CNG,195,105.33,Card,Nagpur,BP002,26,Auto,4800,86.12,Motor Fault,1614.19,20539.35
12/16/2024,Petrol,294,108.13,Card,Pune,BP002,26,Truck,3287,98.33,Motor Fault,844.72,31790.22
10/30/2024,Diesel,210,103.83,Cash,Aurangabad,BP002,32,Car,2655,82.3,Leak,4708.47,21804.3
9/27/2024,Petrol,209,114.86,Cash,Nagpur,BP002,30,Truck,4846,90.39,Sensor Error,1600.02,24005.74
8/2/2024,Petrol,361,114.89,UPI,Nagpur,BP002,39,Bike,4730,99.34,Sensor Error,1669.77,41475.29
9/8/2024,CNG,495,111.28,UPI,Aurangabad,BP001,33,Bike,3661,94.9,Leak,4199.29,55083.6
7/8/2024,CNG,194,93.16,UPI,Nagpur,BP001,49,Bike,2114,89.77,Sensor Error,3238.78,18073.04
10/22/2024,Diesel,388,115.17,Card,Nagpur,BP001,19,Truck,3236,92.08,Motor Fault,3550.86,44685.96
7/31/2024,Petrol,490,110.13,Card,Pune,BP002,43,Auto,906,98.09,None,3180.01,53963.7
7/26/2024,Petrol,212,110.91,Card,Nagpur,BP004,31,Auto,3879,98.79,Sensor Error,4730.98,23512.92
8/24/2024,Petrol,49,100.89,Card,Aurangabad,BP002,55,Car,4697,99.07,None,1035,4943.61
12/3/2024,Diesel,304,116.38,UPI,Mumbai,BP002,51,Truck,1884,88.77,None,4945.2,35379.52
2/22/2024,Diesel,477,111.76,Card,Mumbai,BP001,25,Auto,4195,81.54,Leak,4154.78,53309.52
10/6/2024,Diesel,286,93.38,Card,Mumbai,BP002,53,Truck,4999,73.99,Low Pressure,2944.86,26706.68
8/4/2024,Diesel,585,102.23,Card,Aurangabad,BP001,38,Auto,3402,81.57,Sensor Error,3311.86,59804.55
9/8/2024,Diesel,538,116.59,Card,Mumbai,BP002,63,Bike,2129,98.29,Leak,3244.13,62725.42
7/6/2024,CNG,168,91.42,Cash,Pune,BP003,60,Bike,3762,96.69,Leak,291.98,15358.56
2/10/2024,Petrol,366,118.84,UPI,Aurangabad,BP004,45,Car,1526,85.71,None,1090.08,43495.44
6/5/2024,Petrol,443,110.37,UPI,Aurangabad,BP004,63,Bike,3489,86.11,Sensor Error,4807.35,48893.91
1/15/2024,Petrol,398,108.94,Card,Aurangabad,BP001,61,Auto,2724,79.27,Leak,2671.82,43358.12
10/27/2024,Petrol,56,98.12,Cash,Nagpur,BP003,23,Car,3420,83.64,Motor Fault,1891.77,5494.72
3/5/2024,Petrol,313,97.46,UPI,Nagpur,BP004,37,Car,4815,91.43,Leak,3810.19,30504.98
12/10/2024,Petrol,155,118.26,UPI,Nagpur,BP001,48,Bike,4768,82.07,Motor Fault,2622.59,18330.3
11/22/2024,Petrol,130,98.95,Card,Nashik,BP002,50,Truck,3283,75.64,Low Pressure,65.81,12863.5
1/9/2024,Petrol,121,113.27,Card,Pune,BP002,61,Bike,1913,86.23,Motor Fault,3681.19,13705.67
12/9/2024,CNG,363,101.79,UPI,Aurangabad,BP003,24,Bike,4148,76.76,Motor Fault,3661.09,36949.77
5/8/2024,Petrol,153,94.18,UPI,Aurangabad,BP004,25,Car,3308,99.23,None,825.74,14409.54
5/15/2024,CNG,97,90.32,Cash,Nagpur,BP002,26,Bike,3831,81.71,Leak,4783.3,8761.04
3/3/2024,Diesel,193,106.33,UPI,Aurangabad,BP001,19,Auto,2678,97.29,Low Pressure,1119.54,20521.69
5/18/2024,Petrol,443,119.27,UPI,Aurangabad,BP002,34,Car,1297,76.77,Leak,2288.75,52836.61
3/21/2024,Diesel,305,101.07,Card,Mumbai,BP002,62,Bike,3346,75.68,Motor Fault,573.68,30826.35
6/11/2024,Diesel,354,100.72,UPI,Aurangabad,BP004,54,Truck,1429,88.51,Motor Fault,3016.41,35654.88
10/15/2024,Diesel,80,100.32,Card,Nashik,BP004,59,Auto,3591,93.38,Leak,1877.26,8025.6
9/17/2024,CNG,144,105.62,UPI,Nagpur,BP001,61,Truck,2762,87,Low Pressure,1765.87,15209.28
8/18/2024,Diesel,232,103.22,UPI,Pune,BP003,34,Auto,1833,76.89,Low Pressure,4134.88,23947.04
2/10/2024,Diesel,440,116.4,UPI,Pune,BP003,55,Truck,1774,71.14,None,47.81,51216
1/28/2024,Diesel,317,105.17,Cash,Mumbai,BP002,52,Bike,3980,88.55,Motor Fault,3989.73,33338.89
5/14/2024,Petrol,393,105.23,Card,Pune,BP001,64,Auto,3842,73.93,Motor Fault,2857.24,41355.39
7/19/2024,Petrol,295,94.15,Cash,Pune,BP003,56,Car,1717,80.3,None,4930.49,27774.25
11/23/2024,CNG,138,119.48,UPI,Nagpur,BP003,47,Car,1964,90.27,Leak,2947.22,16488.24
9/24/2024,CNG,321,97.5,Cash,Nagpur,BP002,23,Truck,4908,72.94,Motor Fault,276.9,31297.5
2/2/2024,Petrol,442,92.2,Card,Nashik,BP001,21,Truck,4674,73.82,Leak,253.23,40752.4
2/17/2024,CNG,148,109.89,UPI,Mumbai,BP003,54,Truck,513,71.85,Low Pressure,4415.76,16263.72
3/2/2024,Petrol,238,107.86,Cash,Pune,BP004,52,Auto,2793,99.88,Sensor Error,4206.07,25670.68
8/3/2024,Diesel,342,102.45,Cash,Nashik,BP004,26,Car,2545,81.61,None,1729.45,35037.9
10/19/2024,Diesel,366,102.67,Card,Mumbai,BP002,23,Bike,1537,97.17,Motor Fault,3090.16,37577.22
4/8/2024,CNG,193,113.55,Cash,Pune,BP002,30,Auto,4628,78.81,None,2447.96,21915.15
6/20/2024,Petrol,591,95.87,Card,Pune,BP002,39,Truck,1959,92.6,Low Pressure,4835.82,56659.17
12/25/2024,Petrol,444,114.61,UPI,Nagpur,BP002,45,Car,756,76.57,Low Pressure,4749.8,50886.84
8/1/2024,CNG,501,109.46,UPI,Aurangabad,BP003,47,Truck,4629,84.95,Low Pressure,4919.2,54839.46
2/4/2024,Petrol,171,102.57,Cash,Mumbai,BP001,53,Bike,4573,94.74,Low Pressure,4332.24,17539.47
8/14/2024,Diesel,123,103.74,UPI,Pune,BP002,19,Bike,1783,94.49,Sensor Error,4547.76,12760.02
4/10/2024,CNG,438,97.7,UPI,Mumbai,BP002,53,Car,3987,93.83,Leak,1086.39,42792.6
5/10/2024,CNG,148,112.56,Cash,Nashik,BP003,25,Auto,2684,94.71,Leak,4155.03,16658.88
9/13/2024,Petrol,260,105.39,UPI,Nashik,BP002,62,Bike,858,76.34,Sensor Error,3544.29,27401.4
1/5/2024,CNG,592,99.63,Cash,Aurangabad,BP002,59,Bike,4291,84.47,Leak,4813.93,58980.96
8/5/2024,Petrol,407,107.88,Card,Pune,BP001,26,Bike,3687,84.55,Low Pressure,2856.31,43907.16
9/11/2024,Petrol,186,119.87,Card,Nagpur,BP004,18,Bike,4999,96.72,Leak,425.84,22295.82
12/24/2024,Petrol,151,103.06,Card,Pune,BP002,30,Truck,1725,78.91,None,2986.99,15562.06
10/9/2024,Petrol,597,117.62,Cash,Mumbai,BP003,32,Truck,2797,97.94,Leak,3432.9,70219.14
7/25/2024,Petrol,533,100.35,Cash,Nashik,BP001,49,Auto,777,83.52,None,1101.61,53486.55
1/15/2024,CNG,544,91.64,UPI,Mumbai,BP003,51,Car,4707,90.09,Motor Fault,1970.57,49852.16
12/11/2024,Diesel,514,96.13,UPI,Aurangabad,BP001,60,Car,2486,78.07,None,2992.52,49410.82
2/11/2024,Diesel,310,102.56,UPI,Nashik,BP001,48,Car,4044,82.31,None,1870.53,31793.6
6/27/2024,CNG,460,96.59,UPI,Nagpur,BP002,31,Bike,3293,91.29,Low Pressure,1874.74,44431.4
3/3/2024,CNG,406,90.01,UPI,Nashik,BP002,64,Truck,891,85.38,Low Pressure,665.43,36544.06
12/17/2024,Diesel,319,117.45,Cash,Pune,BP002,31,Truck,1468,97.92,Low Pressure,4703.73,37466.55
8/18/2024,Diesel,322,115.32,Cash,Pune,BP004,46,Auto,2690,92.11,None,3752.47,37133.04
8/28/2024,Diesel,79,112.27,Card,Nashik,BP004,64,Car,2728,86.93,Sensor Error,6.22,8869.33
2/21/2024,Diesel,228,95.03,Card,Aurangabad,BP003,36,Truck,3126,96.6,Low Pressure,3828.07,21666.84
4/5/2024,Diesel,203,93.61,Card,Pune,BP002,44,Auto,3345,89.97,Low Pressure,3698.97,19002.83
8/9/2024,Petrol,575,92.03,Card,Pune,BP004,26,Car,4864,89.42,None,48.65,52917.25
8/18/2024,CNG,575,111.72,Cash,Nagpur,BP002,54,Bike,3807,77.39,Motor Fault,1848.02,64239
8/24/2024,Petrol,43,117.86,Cash,Nashik,BP004,54,Truck,3100,81.85,Motor Fault,3033.74,5067.98
5/22/2024,Diesel,329,102.92,Cash,Pune,BP004,60,Truck,3180,90.5,Leak,2263.75,33860.68
6/19/2024,Diesel,472,93.57,UPI,Aurangabad,BP001,45,Car,4870,96.75,Motor Fault,3889.93,44165.04
1/29/2024,Diesel,510,105.37,UPI,Mumbai,BP002,41,Bike,585,79.47,Low Pressure,2127.29,53738.7
2/5/2024,Petrol,220,100.46,Card,Nashik,BP002,45,Bike,3634,76.46,Sensor Error,769.31,22101.2
1/13/2024,Petrol,287,101.24,UPI,Nagpur,BP004,53,Truck,4999,87.81,Leak,4882.08,29055.88
6/8/2024,Diesel,318,108.64,Cash,Pune,BP002,35,Car,2739,72.02,Sensor Error,1210.2,34547.52
11/22/2024,Petrol,293,111.56,Card,Aurangabad,BP004,42,Auto,3864,91.44,Sensor Error,3588.46,32687.08
7/5/2024,Petrol,220,93.32,Card,Nashik,BP002,52,Truck,2545,91.09,Low Pressure,715.78,20530.4
8/30/2024,Diesel,548,91.07,UPI,Aurangabad,BP001,21,Bike,1554,80.65,None,1645.06,49906.36
3/26/2024,Petrol,365,119.83,Card,Aurangabad,BP002,31,Auto,3901,96.78,None,2210.14,43737.95
10/10/2024,CNG,396,96.98,UPI,Nagpur,BP001,56,Car,4229,85.07,None,961.16,38404.08
3/6/2024,CNG,430,91.61,UPI,Nashik,BP003,43,Bike,3169,89.37,Motor Fault,2249.8,39392.3
6/18/2024,CNG,124,95.7,Card,Pune,BP002,25,Auto,775,76.29,None,785.81,11866.8
2/14/2024,CNG,356,91.17,UPI,Nagpur,BP002,41,Truck,4590,82.52,Low Pressure,2795.03,32456.52
3/2/2024,Diesel,251,101.75,UPI,Pune,BP002,33,Bike,1605,95.87,Motor Fault,3318.57,25539.25
5/13/2024,Diesel,554,114.07,UPI,Mumbai,BP001,37,Car,3432,76.39,None,312.17,63194.78
10/10/2024,Diesel,423,100.24,UPI,Aurangabad,BP002,32,Bike,628,81.72,Sensor Error,4355.66,42401.52
1/28/2024,CNG,381,103.33,Card,Mumbai,BP002,24,Truck,4851,79.54,Low Pressure,925.7,39368.73
4/17/2024,CNG,77,110.27,Cash,Aurangabad,BP004,34,Car,4826,74.53,Low Pressure,1126.81,8490.79
2/13/2024,Petrol,550,105.27,Cash,Nagpur,BP003,39,Truck,4068,78.69,Leak,3306.75,57898.5
12/5/2024,Petrol,459,115.84,UPI,Pune,BP001,39,Auto,2902,76.98,Low Pressure,2343.76,53170.56
10/12/2024,CNG,208,115.98,UPI,Pune,BP004,29,Bike,2147,97.71,Sensor Error,2496.98,24123.84
11/26/2024,CNG,382,90.3,UPI,Nagpur,BP001,35,Truck,4056,92.23,Low Pressure,640.77,34494.6
5/7/2024,CNG,345,113.34,Cash,Nashik,BP004,63,Auto,4391,79.48,Leak,4028.68,39102.3
12/13/2024,CNG,581,103.82,UPI,Mumbai,BP003,64,Car,2693,92.9,Low Pressure,3085.27,60319.42
8/18/2024,Petrol,576,119.67,Card,Mumbai,BP004,32,Car,2547,70.66,Low Pressure,676.91,68929.92
7/8/2024,CNG,151,104.5,Card,Pune,BP001,54,Auto,3604,85.8,Leak,1870,15779.5
8/12/2024,Petrol,450,119.61,Card,Pune,BP002,33,Auto,4855,77.51,Low Pressure,4052.05,53824.5
10/9/2024,CNG,245,112.64,Cash,Pune,BP002,22,Car,2634,73.43,Motor Fault,2841.78,27596.8
4/30/2024,CNG,224,97.46,UPI,Nagpur,BP003,19,Truck,1342,96.51,Low Pressure,543.24,21831.04
4/25/2024,CNG,421,106.15,UPI,Nashik,BP001,45,Auto,2471,75.98,None,1863.89,44689.15
8/20/2024,Petrol,535,119.76,UPI,Mumbai,BP001,58,Truck,4860,94.67,None,1213.47,64071.6
9/15/2024,Petrol,418,115.73,Cash,Aurangabad,BP001,44,Car,4403,82.4,Motor Fault,2587.33,48375.14
12/24/2024,Diesel,86,92.92,Cash,Nagpur,BP003,48,Truck,4113,70.43,Low Pressure,4216.81,7991.12
7/16/2024,CNG,590,111.19,Cash,Mumbai,BP002,58,Truck,891,91.98,Sensor Error,2181.34,65602.1
5/16/2024,Diesel,567,100.37,Cash,Nashik,BP004,53,Auto,2779,87.89,Low Pressure,2166.71,56909.79
11/13/2024,Diesel,543,90.21,Card,Nagpur,BP003,64,Truck,1400,80.33,None,4526.75,48984.03
6/13/2024,Petrol,61,102.1,Cash,Mumbai,BP004,60,Truck,2994,78.45,Leak,2880.93,6228.1
8/12/2024,Petrol,252,97.04,Cash,Nagpur,BP002,18,Truck,1652,72.21,Motor Fault,2830.96,24454.08
11/2/2024,Diesel,349,114.57,Cash,Mumbai,BP003,46,Car,1794,98.24,Leak,1309.55,39984.93
8/21/2024,CNG,311,100.12,UPI,Mumbai,BP002,18,Car,965,84.82,Sensor Error,3038.61,31137.32
6/20/2024,Petrol,241,114.83,UPI,Nashik,BP004,25,Bike,2675,72.57,Low Pressure,2879.55,27674.03
5/31/2024,CNG,71,90.02,UPI,Aurangabad,BP001,33,Car,3745,96.06,Sensor Error,1984.26,6391.42
11/10/2024,CNG,482,99.23,Card,Nashik,BP001,45,Car,987,78.36,Leak,4953.48,47828.86
6/8/2024,Diesel,201,97.23,Card,Mumbai,BP004,39,Bike,3438,76.11,Low Pressure,4409.45,19543.23
4/5/2024,Diesel,293,97.01,Cash,Nagpur,BP001,35,Bike,3126,78.43,Sensor Error,3747.93,28423.93
8/20/2024,Diesel,560,92.05,UPI,Nashik,BP004,39,Auto,1449,86.94,None,2686.73,51548
6/28/2024,Diesel,519,95.61,Card,Aurangabad,BP003,58,Auto,1549,72.22,None,2310.3,49621.59
4/22/2024,Petrol,49,106.67,UPI,Mumbai,BP003,29,Car,4575,84.45,Motor Fault,924.49,5226.83
11/13/2024,Petrol,544,98.74,Card,Nashik,BP003,36,Truck,4959,96.87,None,1528.69,53714.56
2/21/2024,Diesel,599,102.52,Card,Nashik,BP001,42,Auto,1890,75.65,None,3869.8,61409.48
9/24/2024,Petrol,475,101.31,Cash,Nashik,BP002,22,Auto,1583,79.94,Leak,2268.74,48122.25
10/21/2024,Diesel,150,116.28,Cash,Nashik,BP001,51,Car,2158,81.88,None,4411.35,17442
4/22/2024,CNG,192,117.16,Card,Nagpur,BP001,56,Truck,4887,87.59,None,739.56,22494.72
4/10/2024,CNG,141,104.79,Cash,Aurangabad,BP002,27,Bike,2317,97.58,Leak,2541.74,14775.39
4/22/2024,CNG,230,99.9,Card,Aurangabad,BP002,64,Bike,690,81.84,None,3234.83,22977
3/21/2024,Diesel,120,93.2,Card,Mumbai,BP002,24,Car,960,72.07,None,2584.24,11184
7/5/2024,CNG,528,118.6,UPI,Pune,BP002,54,Car,3021,80.44,Motor Fault,4446.13,62620.8
4/22/2024,Petrol,127,91.81,Cash,Nagpur,BP001,64,Truck,3976,75.7,None,4947.82,11659.87
1/2/2024,CNG,233,98.93,Cash,Mumbai,BP004,32,Car,3205,89.55,None,579.17,23050.69
5/9/2024,CNG,143,98.94,Cash,Mumbai,BP003,59,Car,4866,70.88,Motor Fault,649.77,14148.42
8/7/2024,CNG,135,99.61,UPI,Nashik,BP004,41,Car,1657,78.76,Leak,651.62,13447.35
2/23/2024,Petrol,462,94.93,UPI,Pune,BP001,43,Truck,4766,86.36,None,3405.89,43857.66
12/8/2024,Diesel,237,113.49,UPI,Pune,BP002,43,Car,527,78.32,Sensor Error,1863.38,26897.13
8/11/2024,Petrol,40,93.67,Cash,Nagpur,BP003,63,Auto,4731,86.53,Leak,3666.57,3746.8
8/12/2024,Diesel,446,109.05,Cash,Pune,BP003,43,Truck,3472,73.44,Leak,2027.36,48636.3
5/5/2024,Diesel,417,93.72,Cash,Mumbai,BP004,27,Auto,3524,98.28,None,3138.03,39081.24
5/9/2024,CNG,206,92.12,UPI,Pune,BP001,34,Truck,1764,78.73,Motor Fault,3849.29,18976.72
2/22/2024,Diesel,548,117.28,UPI,Pune,BP001,31,Auto,1355,97.69,Leak,2741.08,64269.44
6/20/2024,Petrol,352,95.7,Card,Aurangabad,BP001,19,Truck,4525,79.78,Motor Fault,2697.52,33686.4
8/5/2024,Petrol,457,114.64,UPI,Mumbai,BP003,30,Bike,1751,93.46,Sensor Error,441.17,52390.48
6/8/2024,Diesel,516,106.34,Card,Pune,BP004,44,Car,4370,77.39,Motor Fault,2053.91,54871.44
7/16/2024,CNG,112,92.34,Cash,Pune,BP003,26,Car,1826,90.09,Low Pressure,2728.89,10342.08
9/3/2024,CNG,180,118.66,UPI,Nashik,BP003,24,Truck,1525,79.71,Motor Fault,2309.9,21358.8
11/19/2024,Petrol,301,97.41,Cash,Pune,BP002,27,Auto,861,85.27,Leak,4503.91,29320.41
7/21/2024,CNG,379,115.79,Cash,Pune,BP004,26,Bike,1718,90.21,Motor Fault,4532.65,43884.41
7/2/2024,Diesel,347,95.06,Cash,Aurangabad,BP002,39,Auto,1105,87.67,Motor Fault,4109.59,32985.82
5/2/2024,Diesel,284,115.62,Cash,Mumbai,BP001,40,Car,2170,87.29,Low Pressure,1876.49,32836.08
9/11/2024,Petrol,554,90.4,UPI,Nagpur,BP003,24,Car,2797,71.97,Low Pressure,3586.5,50081.6
10/20/2024,Diesel,376,105.35,Cash,Mumbai,BP004,26,Auto,2694,77.47,None,1976.44,39611.6
10/6/2024,Petrol,115,113.08,Card,Nashik,BP001,44,Truck,4943,87.16,Leak,1162.97,13004.2
11/20/2024,Diesel,214,118.04,UPI,Mumbai,BP004,41,Truck,1777,70.55,None,1714.51,25260.56
4/7/2024,Petrol,148,117.28,Cash,Pune,BP003,46,Auto,898,77.52,Low Pressure,354.82,17357.44
7/16/2024,CNG,222,114.59,UPI,Nashik,BP004,34,Car,2672,76.88,Motor Fault,1658.89,25438.98
8/27/2024,Diesel,231,116.65,Card,Mumbai,BP001,37,Auto,3310,77.5,Low Pressure,2303.71,26946.15
5/23/2024,Diesel,104,95.98,Cash,Nashik,BP002,24,Car,3152,86.07,Sensor Error,4777.4,9981.92
4/6/2024,Petrol,513,98.53,Card,Nagpur,BP003,60,Auto,3439,87.46,Motor Fault,1567.05,50545.89
7/19/2024,Petrol,139,98.67,Cash,Mumbai,BP002,57,Truck,1321,97.27,None,4512.27,13715.13
